Time,Temperature Sensor 1 (°F),Rate of Change Sensor 1 (°F/h),Temperature Sensor 2 (°F),Rate of Change Sensor 2 (°F/h),Average Temperature (°F),Moving Average Rate of Change Sensor 1 (°F/h),Moving Average Rate of Change Sensor 2 (°F/h),Average Rate of Change (°F/h)
2024-11-04 17:25:45.805467-05:00,950.39375,-253.125,1029.228125,-91.12499999990177,989.8109375,-157.44375000000082,-165.54374999999345,-172.1249999999509
2024-11-04 17:25:51.939075-05:00,950.309375,-60.749999999934516,1028.8203125,-293.6250000000655,989.56484375,-160.98749999999836,-173.64374999999836,-177.1875
2024-11-04 17:25:58.074705-05:00,949.746875,-405.0,1028.553125,-192.37500000006548,989.15,-176.17499999999836,-177.1875,-298.68750000003274
2024-11-04 17:26:04.192294-05:00,949.3109375,-313.87500000001637,1028.0328125,-374.62499999986903,988.671875,-190.35000000000082,-191.8687499999951,-344.2499999999427
2024-11-04 17:26:10.326791-05:00,948.7765625,-384.7500000000491,1027.5125,-374.62500000003274,988.14453125,-203.00625000000082,-209.08124999999836,-379.6875000000409
2024-11-04 17:26:16.577058-05:00,948.1578125,-445.49999999998363,1027.034375,-344.2500000000655,987.5960937499999,-222.75,-214.14374999999836,-394.87500000002456
2024-11-04 17:26:22.706802-05:00,947.69375,-334.12499999996726,1026.359375,-485.99999999996726,987.0265625,-235.91250000000082,-230.34375,-410.06249999996726
2024-11-04 17:26:28.845496-05:00,947.215625,-344.24999999998363,1026.0078125,-253.125,986.61171875,-239.96249999999918,-239.96250000000327,-298.6874999999918
2024-11-04 17:26:34.962294-05:00,946.8078125,-293.6250000000655,1025.3890625,-445.5000000000655,986.0984374999999,-242.49375000000327,-254.13750000000164,-369.5625000000655
2024-11-04 17:26:40.984637-05:00,946.259375,-394.87499999998363,1024.8265625,-405.0,985.54296875,-261.73125000000164,-266.2875000000049,-399.9374999999918
2024-11-04 17:26:47.008469-05:00,945.95,-222.7499999999509,1024.446875,-273.37499999986903,985.1984375000001,-263.25,-270.3374999999951,-248.06249999990996
2024-11-04 17:26:53.039515-05:00,945.5984375,-253.125,1023.9828125,-334.1250000000491,984.7906250000001,-266.79374999999754,-285.5249999999992,-293.62500000002456
2024-11-04 17:26:59.075423-05:00,944.965625,-455.625,1023.575,-293.62499999998363,984.2703125,-288.0562499999992,-288.0562499999951,-374.6249999999918
2024-11-04 17:27:05.081337-05:00,944.290625,-486.0000000000491,1023.0828125,-354.375,983.68671875,-304.2562500000008,-297.67499999999836,-420.18750000002456
2024-11-04 17:27:11.103040-05:00,944.0234375,-192.37499999998363,1022.61875,-334.1250000000491,983.32109375,-297.67499999999836,-301.2187500000041,-263.25000000001637
2024-11-04 17:27:17.111152-05:00,943.6296875,-283.49999999996726,1022.421875,-141.74999999998363,983.02578125,-301.21875,-296.15625,-212.62499999997544
2024-11-04 17:27:23.257427-05:00,943.165625,-334.1250000000491,1021.8734375,-394.87499999998363,982.51953125,-306.28125,-303.2437499999992,-364.50000000001637
2024-11-04 17:27:29.274804-05:00,942.546875,-445.49999999998363,1021.60625,-192.37499999998363,982.0765625,-316.40625,-302.73749999999836,-318.93749999998363
2024-11-04 17:27:35.272370-05:00,942.35,-141.74999999998363,1021.4234375,-131.6250000000491,981.88671875,-312.35624999999754,-296.6625000000008,-136.68750000001637
2024-11-04 17:27:41.295151-05:00,942.1953125,-111.37500000001637,1021.15625,-192.37499999998363,981.67578125,-307.79999999999836,-295.14374999999836,-151.875
2024-11-04 17:27:47.326962-05:00,942.2234375,20.250000000032742,1021.1140625,-30.374999999967258,981.66875,-294.1312499999967,-292.10625000000164,-5.062499999967258
2024-11-04 17:27:53.360990-05:00,942.1953125,-20.250000000032742,1020.8328125,-202.5,981.5140625,-292.10625000000164,-287.54999999999836,-111.37500000001637
2024-11-04 17:27:59.368353-05:00,941.9140625,-202.5,1020.7765625,-40.500000000065484,981.3453125,-281.98125000000164,-279.95624999999836,-121.50000000003274
2024-11-04 17:28:05.402184-05:00,941.703125,-151.875,1020.59375,-131.62499999996726,981.1484375,-273.8812500000008,-267.8062500000033,-141.74999999998363
2024-11-04 17:28:11.435121-05:00,941.2671875,-313.87500000001637,1020.3828125,-151.875,980.825,-270.3374999999992,-256.66875000000164,-232.87500000000819
2024-11-04 17:28:17.465568-05:00,941.1265625,-101.25,1020.1859375,-141.74999999998363,980.65625,-253.125,-246.54374999999754,-121.49999999999181
2024-11-04 17:28:23.476478-05:00,940.49375,-455.625,1019.890625,-212.62500000001637,980.1921875,-259.20000000000164,-232.875,-334.1250000000082
2024-11-04 17:28:29.507579-05:00,940.2828125,-151.875,1019.525,-263.25000000001637,979.90390625,-249.58125000000246,-233.38125000000082,-207.56250000000819
2024-11-04 17:28:35.589300-05:00,939.790625,-354.375,1019.215625,-222.7499999999509,979.503125,-252.61874999999918,-222.2437499999951,-288.56249999997544
2024-11-04 17:28:41.572616-05:00,939.25625,-384.74999999996726,1018.596875,-445.5000000000655,978.9265625,-252.11249999999836,-224.26874999999836,-415.12500000001637
2024-11-04 17:28:47.540118-05:00,938.5953125,-475.87500000003274,1018.00625,-425.2499999999509,978.30078125,-264.76875000000246,-231.86250000000246,-450.5624999999918
2024-11-04 17:28:53.504602-05:00,938.13125,-334.12499999996726,1017.275,-526.5000000000327,977.703125,-268.8187500000008,-241.48125000000164,-430.3125
2024-11-04 17:28:59.478902-05:00,937.6671875,-334.1250000000491,1016.88125,-283.49999999996726,977.27421875,-262.7437500000033,-240.97500000000082,-308.8125000000082
2024-11-04 17:29:05.457562-05:00,937.5125,-111.37499999993452,1016.4875,-283.5000000000491,977.0,-244.01249999999754,-237.43125000000327,-197.43749999999181
2024-11-04 17:29:11.430066-05:00,937.45625,-40.500000000065484,1016.1921875,-212.62499999993452,976.82421875,-236.41875000000164,-231.35624999999754,-126.5625
2024-11-04 17:29:17.391602-05:00,937.3296875,-91.12499999998363,1015.784375,-293.6250000000655,976.5570312499999,-226.80000000000246,-238.95000000000164,-192.37500000002456
2024-11-04 17:29:23.347210-05:00,937.23125,-70.87499999995089,1015.334375,-323.9999999999509,976.2828125000001,-213.63749999999754,-235.40625,-197.4374999999509
2024-11-04 17:29:29.340020-05:00,936.9359375,-212.62500000001637,1014.940625,-283.5000000000491,975.93828125,-201.99374999999918,-239.96250000000327,-248.06250000003274
2024-11-04 17:29:35.320215-05:00,936.6265625,-222.75000000003274,1014.7296875,-151.875,975.6781249999999,-206.04375000000164,-240.97500000000082,-187.31250000001637
2024-11-04 17:29:41.344159-05:00,936.359375,-192.37499999998363,1014.378125,-253.125,975.36875,-210.09375,-244.01250000000164,-222.74999999999181
2024-11-04 17:29:47.345665-05:00,935.76875,-425.25000000003274,1013.9,-344.24999999998363,974.8343749999999,-232.36875000000327,-259.70625000000246,-384.7500000000082
2024-11-04 17:29:53.456753-05:00,935.065625,-506.25,1013.590625,-222.7499999999509,974.328125,-256.66875000000164,-260.71875,-364.49999999997544
2024-11-04 17:29:59.443641-05:00,934.6296875,-313.8749999999345,1013.084375,-364.50000000001637,973.8570312500001,-262.23749999999836,-276.91874999999754,-339.18749999997544
2024-11-04 17:30:05.430753-05:00,934.4046875,-162.00000000001637,1012.775,-222.75000000003274,973.58984375,-262.7437499999992,-281.4750000000008,-192.37500000002456
2024-11-04 17:30:11.396488-05:00,933.9265625,-344.24999999998363,1012.465625,-222.7499999999509,973.19609375,-264.26249999999754,-285.01874999999836,-283.49999999996726
2024-11-04 17:30:17.399592-05:00,933.884375,-30.375000000049113,1011.9453125,-374.62500000003274,972.91484375,-260.71875,-296.6625000000008,-202.50000000004093
2024-11-04 17:30:23.390778-05:00,933.6453125,-172.1249999999509,1011.678125,-192.37499999998363,972.6617187500001,-246.54374999999754,-295.6499999999992,-182.24999999996726
2024-11-04 17:30:29.368588-05:00,933.3359375,-222.75000000003274,1011.1859375,-354.375,972.2609375,-250.08749999999918,-300.20624999999836,-288.56250000001637
2024-11-04 17:30:35.353592-05:00,932.73125,-435.37499999996726,1010.9609375,-162.00000000001637,971.84609375,-254.13749999999754,-297.16875000000164,-298.6874999999918
2024-11-04 17:30:41.353609-05:00,932.1546875,-415.12500000001637,1010.7359375,-162.00000000001637,971.4453125,-255.65625,-282.9937499999992,-288.56250000001637
2024-11-04 17:30:47.357078-05:00,932.1125,-30.375000000049113,1010.4828125,-182.24999999996726,971.29765625,-233.38125000000082,-270.84375,-106.31250000000819
2024-11-04 17:30:53.339586-05:00,931.971875,-101.25,1010.384375,-70.87500000003274,971.1781249999999,-221.73750000000246,-248.0625,-86.06250000001637
2024-11-04 17:30:59.328400-05:00,931.9296875,-30.374999999967258,1010.215625,-121.4999999999509,971.07265625,-206.54999999999836,-239.96249999999918,-75.93749999995907
2024-11-04 17:31:05.324029-05:00,931.9296875,0.0,1010.046875,-121.50000000003273,970.98828125,-200.98125000000164,-231.86249999999836,-60.750000000016364
2024-11-04 17:31:11.439548-05:00,931.7046875,-162.00000000001637,1009.90625,-101.25,970.80546875,-207.05624999999918,-226.29375000000164,-131.62500000000819
2024-11-04 17:31:17.441227-05:00,931.409375,-212.62500000001637,1009.7234375,-131.62499999996726,970.56640625,-213.13125000000082,-218.19374999999673,-172.12499999999181
2024-11-04 17:31:23.423413-05:00,930.70625,-506.25,1009.4703125,-182.2500000000491,970.0882812499999,-234.90000000000327,-211.10625000000164,-344.25000000002456
2024-11-04 17:31:29.423311-05:00,930.5234375,-131.62499999996726,1009.034375,-313.87500000001637,969.77890625,-230.85000000000082,-212.625,-222.74999999999181
2024-11-04 17:31:35.428322-05:00,930.171875,-253.125,1008.8375,-141.74999999998363,969.5046875,-232.36874999999918,-212.11874999999918,-197.43749999999181
2024-11-04 17:31:41.417624-05:00,929.834375,-242.99999999998363,1008.2328125,-435.37499999996726,969.03359375,-234.89999999999918,-221.23124999999754,-339.18749999997544
2024-11-04 17:31:47.408456-05:00,929.2859375,-394.87499999998363,1007.8671875,-263.25000000001637,968.5765625,-233.38124999999673,-217.18124999999918,-329.0625
2024-11-04 17:31:53.413217-05:00,929.0890625,-141.75000000006548,1007.2625,-435.37499999996726,968.17578125,-215.15625,-227.8125,-288.56250000001637
2024-11-04 17:31:59.416211-05:00,928.68125,-293.62499999998363,1006.784375,-344.2500000000655,967.7328124999999,-214.14375000000246,-226.80000000000246,-318.93750000002456
2024-11-04 17:32:05.410792-05:00,927.8515625,-597.3749999999836,1006.390625,-283.49999999996726,967.12109375,-235.91250000000082,-229.83749999999918,-440.43749999997544
2024-11-04 17:32:11.402297-05:00,927.584375,-192.37499999998363,1006.0671875,-232.87499999996726,966.8257812500001,-228.31875000000082,-230.34375,-212.62499999997544
2024-11-04 17:32:17.402317-05:00,927.10625,-344.24999999998363,1005.771875,-212.62500000001637,966.4390625000001,-244.01249999999754,-222.24374999999918,-278.4375
2024-11-04 17:32:23.521405-05:00,926.88125,-162.00000000001637,1005.35,-303.75,966.115625,-243.50625000000082,-227.8125,-232.87500000000819
2024-11-04 17:32:29.533598-05:00,926.5859375,-212.62500000001637,1005.1953125,-111.37500000001637,965.890625,-243.0,-215.66250000000082,-162.00000000001637
2024-11-04 17:32:35.552912-05:00,926.43125,-111.37500000001637,1004.9140625,-202.5,965.67265625,-226.80000000000246,-217.6875,-156.93750000000819
2024-11-04 17:32:41.589698-05:00,926.20625,-162.00000000001637,1004.6046875,-222.75000000003274,965.40546875,-214.14375000000246,-220.72500000000082,-192.37500000002456
2024-11-04 17:32:47.594695-05:00,925.8125,-283.49999999996726,1004.421875,-131.62499999996726,965.1171875,-226.79999999999836,-218.19375000000082,-207.56249999996726
2024-11-04 17:32:53.609699-05:00,925.390625,-303.75,1004.028125,-283.49999999996726,964.709375,-236.92499999999836,-228.82499999999754,-293.62499999998363
